Chemical,Mean_R2
Albumin-2 (P08688),0.25427812967960384
Alcohol dehydrogenase-like C-terminal domain-containing protein (A0A9D4Y379),0.10663850974661496
Convicilin (Q9M3X6),0.08081057550482337
Dehydrin DHN2 (P28640),0.3086171963110113
"Glyceraldehyde-3-phosphate dehydrogenase, cytosolic (P34922)",0.31255563297309685
Legumin K (P05693),0.06583569943304608
NADPH-dependent aldehyde reductase 1 (A0A9D4XPH4),0.21873402074870754
Other components,0.08226449849489059
Seed linoleate 9S-lipoxygenase-2 (P14856),0.2237962953708593
Seed linoleate 9S-lipoxygenase-3 (P09918),0.22125671705489838
Starch content,0.19694189777666019
TKV,0.6009217629678828
Vicilin (P13918),0.08816221797195992
